"","date1","date2","Prc","date_diff"
"351",2014-10-17,2014-10-24,0.0735294117647059,7
"352",2014-10-17,2014-10-25,0.0294117647058824,8
"353",2014-10-17,2014-10-26,0.0294117647058824,9
"354",2014-10-17,2014-10-27,0.0147058823529412,10
"355",2014-10-17,2014-10-28,0.0294117647058824,11
"356",2014-10-17,2014-10-29,0.0147058823529412,12
"357",2014-10-17,2014-10-30,0.0147058823529412,13
"358",2014-10-18,2014-10-19,0.0588235294117647,1
"359",2014-10-18,2014-10-20,0,2
"360",2014-10-18,2014-10-21,0,3
"361",2014-10-18,2014-10-22,0.0168067226890756,4
"362",2014-10-18,2014-10-23,0.00840336134453781,5
"363",2014-10-18,2014-10-24,0.0168067226890756,6
"364",2014-10-18,2014-10-25,0.0252100840336134,7
"365",2014-10-18,2014-10-26,0.0588235294117647,8
"366",2014-10-18,2014-10-27,0.0252100840336134,9
"367",2014-10-18,2014-10-28,0.00840336134453781,10
"368",2014-10-18,2014-10-29,0.00840336134453781,11
"369",2014-10-18,2014-10-30,0.0168067226890756,12
"370",2014-10-19,2014-10-20,0.00854700854700855,1
"371",2014-10-19,2014-10-21,0.0170940170940171,2
"372",2014-10-19,2014-10-22,0.0341880341880342,3
"373",2014-10-19,2014-10-23,0.0170940170940171,4
"374",2014-10-19,2014-10-24,0.00854700854700855,5
"375",2014-10-19,2014-10-25,0.00854700854700855,6
"376",2014-10-19,2014-10-26,0.0598290598290598,7
"377",2014-10-19,2014-10-27,0.0341880341880342,8
"378",2014-10-19,2014-10-28,0.0170940170940171,9
"379",2014-10-19,2014-10-29,0.0170940170940171,10
"380",2014-10-19,2014-10-30,0.0256410256410256,11
"381",2014-10-20,2014-10-21,0,1
"382",2014-10-20,2014-10-22,0.0379746835443038,2
"383",2014-10-20,2014-10-23,0.0126582278481013,3
"384",2014-10-20,2014-10-24,0.0379746835443038,4
"385",2014-10-20,2014-10-25,0.0126582278481013,5
"386",2014-10-20,2014-10-26,0.0253164556962025,6
"387",2014-10-20,2014-10-27,0.0253164556962025,7
"388",2014-10-20,2014-10-28,0.0253164556962025,8
"389",2014-10-20,2014-10-29,0.0253164556962025,9
"390",2014-10-20,2014-10-30,0.0253164556962025,10
"391",2014-10-21,2014-10-22,0.046875,1
"392",2014-10-21,2014-10-23,0.015625,2
"393",2014-10-21,2014-10-24,0.046875,3
"394",2014-10-21,2014-10-25,0.015625,4
"395",2014-10-21,2014-10-26,0.046875,5
"396",2014-10-21,2014-10-27,0.015625,6
"397",2014-10-21,2014-10-28,0.046875,7
"398",2014-10-21,2014-10-29,0.046875,8
"399",2014-10-21,2014-10-30,0.078125,9
"400",2014-10-22,2014-10-23,0.0217391304347826,1
"401",2014-10-22,2014-10-24,0.0434782608695652,2
"402",2014-10-22,2014-10-25,0,3
"403",2014-10-22,2014-10-26,0.0217391304347826,4
"404",2014-10-22,2014-10-27,0.0217391304347826,5
"405",2014-10-22,2014-10-28,0,6
"406",2014-10-22,2014-10-29,0.0217391304347826,7
"407",2014-10-22,2014-10-30,0.0434782608695652,8
"408",2014-10-23,2014-10-24,0.0327868852459016,1
"409",2014-10-23,2014-10-25,0.0163934426229508,2
"410",2014-10-23,2014-10-26,0.0163934426229508,3
"411",2014-10-23,2014-10-27,0,4
"412",2014-10-23,2014-10-28,0.0163934426229508,5
"413",2014-10-23,2014-10-29,0,6
"414",2014-10-23,2014-10-30,0,7
"415",2014-10-24,2014-10-25,0.021978021978022,1
"416",2014-10-24,2014-10-26,0.021978021978022,2
"417",2014-10-24,2014-10-27,0.021978021978022,3
"418",2014-10-24,2014-10-28,0.021978021978022,4
"419",2014-10-24,2014-10-29,0.010989010989011,5
"420",2014-10-24,2014-10-30,0.043956043956044,6
"421",2014-10-25,2014-10-26,0.0235294117647059,1
"422",2014-10-25,2014-10-27,0,2
"423",2014-10-25,2014-10-28,0,3
"424",2014-10-25,2014-10-29,0.0117647058823529,4
"425",2014-10-25,2014-10-30,0.0235294117647059,5
"426",2014-10-26,2014-10-27,0.0087719298245614,1
"427",2014-10-26,2014-10-28,0.0087719298245614,2
"428",2014-10-26,2014-10-29,0.0175438596491228,3
"429",2014-10-26,2014-10-30,0.0087719298245614,4
"430",2014-10-27,2014-10-28,0.0754716981132075,1
"431",2014-10-27,2014-10-29,0,2
"432",2014-10-27,2014-10-30,0.0188679245283019,3
"433",2014-10-28,2014-10-29,0.0303030303030303,1
"434",2014-10-28,2014-10-30,0.0454545454545455,2
"435",2014-10-29,2014-10-30,0.0416666666666667,1
